Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Magi3	Kalrn			Prag1	Polr2m	Epb41l4b	Mtus2	Elmo1		Gripap1	Kcnb2	Nudt9	Son
Grm4	Arhgap32			Zc3h18	Tigar	Skt	Pik3cb	Ajm1		Tmcc2	Slc39a10	Phf24	Acot13
Ago1	Top3b			Kcnma1	Mrtfb	Robo2	Nedd4l	Dvl3		Syap1	Ubxn6	Kcnh1	Derpc
Homer2	Cntrl			Mtss1	Lrrtm4	Anks1a	Atp2a3	Dennd1a		Crbn	Rgs6	Pip4k2b	Csrp1
Iqsec2	Tdrd3			Cttn	Cemip2	Nyap2	Minar1	Sipa1l3		Stxbp5	Pip4k2b	Asap1	Znfx1
Dnajc6	Cpe			Nebl	Eid2	Tln2	Trim9	Akap2		Xrn1	Ppp1r16b	Magi2	Numa1
Picalm	Kiaa1549			Magi1	Lnpep	Ist1	Plcb1	Ncor1		Kifap3	Nck2	Mta2	Rpl12
Srcin1	Fam81a			Dmtn	Gabbr2	Phactr4	Nhsl2	N4bp3		Vps45	Crip2	Hcn2	Ap1g1
Frmpd4	Nedd4l			Brk1	Amer2	Sh3rf1	Gsk3a	Grm4		Mrtfb	Map4k3	Palm	Znf318
Patl1	Mlip			Vamp3	Xrn1	Ajm1	Gabra2	Asic1		Shb	Nf2	Marcksl1	Rbm14
Plppr3	Jmy			Erbin	Vamp2	Tenm4	Gabbr2	Smg7		Top2b	Scn2a	Tdrd3	Cpsf2
Fam110b	Gria4			Atp13a1	Gria3	Jmy	Snap25	Tjp1		Cc2d1a	Adcy9	Akap5	Yes1
Got1	Elmo1			Neto2	Erc1	Cc2d1a	Ist1	Nebl		Tanc1	Mobp	Rpl18	Arid1b
Rc3h1	Sorbs1			Cdh7	Uhrf1bp1l	Arvcf	Gpr158	Tenm4		Nf2	C2cd4cC2CD4 family	Epn1	Rabl6
Xrn1	Grik5			Srgap2	Rps6kb1	Astn1	Sipa1l1	Dock4		Dmtn	Ralbp1	Yme1l1	Usp7
Ago2	Dvl3			Gigyf2	Tnrc6a	Ccz1	Vps18	Ccdc85c		Clip2	Robo2	Hnrnpa2b1	Tnrc6b
Afdn	Erbin			Grasp	Cnot2	Wwc2	Atp6v1e1	Gsg1l		Smg9	Pik3ca	Numb	Ppil2
Dop1a	Dzank1			Sipa1l3	Elfn2	Bcar1	Sh3rf1	Homer3		Cdc42bpb	Tbc1d8	Carmil2	Ipo7
Rpl19	Wwc2			Homer1	Hcfc1	Tln1	Kcnh1	Zdhhc17		Tln2	Stxbp1	Ubxn6	Trim28
Zfr	Erbb4			Afdn	Vps33b	Nlgn1	Nlgn2	Iqsec1		Ahcyl2	Cadm2	Strada	Msh6
Arhgap39	Mink1			Grin2b	Prr7	Apc	Ntrk3	Kalrn		Hnrnpa2b1	Ppp1r13b	Neo1	Tpr
Dlg1	Cc2d1a			Vps13a	Ssr3	Shroom2	Robo2	Sipa1l1		Edc3	Arl6ip5	Slc4a3	Txnl1
Ctnna2	Auts2			Grip1	Kcnd3	Fnbp1l	Igsf11	Mtus2		Bcas3	Rock2	Elfn2	H3-3a
Kank3	Ythdc2			Tmcc2	Grid1	Elfn1	Bcar3	Togaram1		Smg7	Arhgap35	Dcc	Dnmt3a
Dvl3	Ccdc85c			Myo16	Cdh12	Ptprf	Palm	Vps18		Fam189a1	Dlg5	Slc8a1	Ythdc2
Dock3	Lrrc4			Mrtfb	Arhgef9	Fam171a2	Gse1	Elmo2		Tacc1	Robo1	Cc2d1a	Atp9a
Sec23a	Tjp1			Edc3	Bcl11a	Sipa1l3	Ctnnd2	Ablim1		Anxa2	Mtmr6	Scrib	Hnrnpa0
Znf365	Lrrc7			Glo1	Kcnd2	Pals2	Scamp1	Ptprf		Arhgef7	Epb41l1	Nin	U2af1
Skt	Tenm4			Sirt2	Eif4g1	Dlg3	Shisa7	Nrxn1		Specc1	Slc8a1	Robo2	Osgep
N4bp3	Magi3			Tjp2	Gprin1	Arhgap5	Uaca	Ist1		Crip2	Fbxo42	Wasf3	
Csrp1	Gas7			Rims2	Plppr1	Pkp4	Agfg2	Adcy8		Reps2	Cox6a1	Aftph	
Gprin3	Rem2			Cdh4	Abi2	Zdhhc8	Eif3e	Magi1		Tnrc6b	Septin5	Jakmip1	
Elfn1	Agfg2			Dop1a	Slitrk5	Asrgl1	Grm4	Sh3pxd2b		Sec23a	Rap1gap	Snap25	
Enah	Fam222b			Aldh1a2	Prkaa2	Naxd	Lrfn2	Prrc2b		Ythdc2	Tln2	Mtmr6	
Cdkn2aip	Togaram1			Grin1	Ppp1r13b	Rapgef2	Adcy8	Plppr4		Rab11fip5	Caskin1	Kifap3	
Dap3	Numb			Trim9	Pde1a	Lrrc4c	Nebl	Atp2a3		Slc4a10	Gprin1	Itsn1	
Atp13a1	Arfgap1			Robo1	Slc38a1	Glul	Cpe	Tnik		Prkar2b	Stxbp5l	Scn1b	
Ctnnb1	Ablim1			Hspg2	Helz	Arhgap32	Kiaa1549	Tdrd3		Tbcb	Prkar2b	Sec23b	
Shisa6	Dchs1			Mink1	Flrt1	N4bp3	Homer1	Sh3gl2		Map1a	Septin9	Gnpat	
Mtss2	Ythdf3			Erbb4	Gabrd	Arhgap21	Fam81a	Iqsec3		Arhgef18	Bcas3	Cacna2d1	
Pik3ca	Zc3h12c			Skt	Picalm	Ndrg2	Dnajb4	Asap1		Eif4g2	Aatk	Yes1	
Sipa1l1	Asap1			Leng8	Gria1	Tanc1	Mink1	Sh3rf1		Scn2b	Lrsam1	Septin6	
Cobl	Homer3			Grm1	Megf8	Pik3c2a	Pdxdc1	Kcna4		Epb41l1	Numb	Nefh	
